Scrape,Title,Address,URL
2018-04-12 16:18:37.855202,HUGE PRINT Fazzino WALL STREET 3d Rizzi  Man Cave,,https://longisland.craigslist.org/art/d/huge-print-fazzino-wall/6554932675.html
2018-04-12 16:18:37.855202,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,https://newjersey.craigslist.org/for/d/complete-aromatherapy/6553433887.html
2018-04-12 16:18:37.871194,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,https://orlando.craigslist.org/clt/d/many-art-paintings-many/6532774925.html
2018-04-12 16:18:37.884181,GERMAN Art Picture Book DEUTSCHLAND Freiburg Max Klinger BECKMANN KLEE,potrero hill,https://sfbay.craigslist.org/sfc/bks/d/german-art-picture-book/6552817654.html
2018-04-12 16:18:37.904014,"Microwave Engineering Passive Circuits by Peter A Rizzi 1988, Hardcove",,https://cleveland.craigslist.org/for/d/microwave-engineering-passive/6542305401.html
Scrape,Title,Address,URL
2018-04-12 16:20:16.394648,GERMAN Art Picture Book DEUTSCHLAND Freiburg Max Klinger BECKMANN KLEE,potrero hill,https://sfbay.craigslist.org/sfc/bks/d/german-art-picture-book/6552817654.html
2018-04-12 16:20:16.407806,HUGE PRINT Fazzino WALL STREET 3d Rizzi  Man Cave,,https://longisland.craigslist.org/art/d/huge-print-fazzino-wall/6554932675.html
2018-04-12 16:20:16.407806,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,https://newjersey.craigslist.org/for/d/complete-aromatherapy/6553433887.html
2018-04-12 16:20:16.414056,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,https://orlando.craigslist.org/clt/d/many-art-paintings-many/6532774925.html
2018-04-12 16:20:16.430687,"Microwave Engineering Passive Circuits by Peter A Rizzi 1988, Hardcove",,https://cleveland.craigslist.org/for/d/microwave-engineering-passive/6542305401.html
